feature,perm_importance
number_of_bedrooms,0.5405146225482711
number_of_bathrooms,0.04615281353272228
dist_praia_km,0.036866806921294244
number_of_reviews,0.02776837957747257
listing_type_apart,0.02228615434722022
cleaning_fee,0.02217870960282558
is_superhost,0.013269149890903654
location_rating,0.012829896900037724
is_professional,0.012771129419438216
picture_count,0.012593722762864534
number_of_guests,0.011299261418473688
number_of_beds,0.0023802848040487155
star_rating,0.0017251244353732875
is_guest_favorite,0.001669830470984096
cleanliness_rating,0.0006941489341517948
months_host,0.0006754533325326661
can_instant_book,0.0004580582283899404
tem_estacionamento,3.4960614015477897e-06
is_new_listing,1.4432899320127036e-16
guest_satisfaction_overall,-2.2699147831473087e-05
value_rating,-0.00021463560089342027
years_host,-0.0019476754053831147
