feature,importance_rf,import_pct
number_of_bedrooms,0.4750571348084574,47.5
listing_type_apart,0.11111580245116238,11.1
number_of_bathrooms,0.07014233075900331,7.0
number_of_reviews,0.051336276485770396,5.1
picture_count,0.036840899992434145,3.7
number_of_guests,0.0356027764450912,3.6
dist_praia_km,0.0349766306684795,3.5
cleaning_fee,0.03179158428332416,3.2
cleanliness_rating,0.022842078663427166,2.3
location_rating,0.02071617161190234,2.1
months_host,0.019127768071420206,1.9
value_rating,0.01741761375587475,1.7
is_superhost,0.016559929040980883,1.7
is_professional,0.016386488433369175,1.6
star_rating,0.013941076842475936,1.4
number_of_beds,0.011335809028617432,1.1
years_host,0.009525923678830598,1.0
can_instant_book,0.0025087543210188887,0.3
is_guest_favorite,0.002062891979079043,0.2
guest_satisfaction_overall,0.0006798618993294193,0.1
tem_estacionamento,3.219677995149285e-05,0.0
is_new_listing,0.0,0.0
