airbnb_listing_id,adr,price_median,price_std,n_dates,first_date,last_date,period_days,occupancy_proxy,est_annual_revenue,est_revenue_observed_period
1977915,864.3805037735849,850.0,187.4135467872485,159,2025-02-13,2025-04-20,67,1.0,315498.8838773585,137436.5001
2951220,789.6676470588235,670.0,217.39561598969888,85,2025-01-26,2025-04-20,85,1.0,288228.6911764706,67121.75
3263701,1533.3333333333333,1650.0,263.63525200414824,48,2025-02-08,2025-04-10,62,0.7741935483870968,433290.3225806451,73600.0
3977675,242.7121210909091,198.0,77.59643167040477,55,2025-01-25,2025-03-31,66,0.8333333333333334,73824.93683181818,13349.16666
5443557,799.1158536585366,793.0,121.86331897248931,82,2025-01-07,2025-04-07,91,0.9010989010989011,262830.0824175824,65527.5
6569062,737.0856174074074,750.0,63.49002587049586,270,2025-01-06,2025-04-19,104,1.0,269036.2503537037,199013.1167
8287843,659.6052631578947,700.0,176.0861290388243,190,2025-01-26,2025-04-20,85,1.0,240755.92105263157,125324.99999999999
8838629,781.0525248484848,650.0,253.26258875536942,165,2025-01-21,2025-04-17,87,1.0,285084.171569697,128873.6666
8936081,493.037037037037,460.0,67.80783451528607,27,2025-02-28,2025-04-06,38,0.7105263157894737,127865.26315789473,13312.0
9327293,922.4090909090909,900.0,32.058894667045664,33,2025-01-27,2025-03-31,64,0.515625,173600.2734375,30439.5
9658725,282.1,300.0,38.19380403503515,10,2025-03-24,2025-04-02,10,1.0,102966.50000000001,2821.0
9784227,480.0,480.0,0.0,19,2025-02-01,2025-02-28,28,0.6785714285714286,118885.71428571429,9120.0
10266012,121.25,125.0,4.413148217880572,58,2025-02-01,2025-04-07,66,0.8787878787878788,38891.856060606064,7032.5
10340400,300.0,300.0,0.0,18,2025-03-06,2025-03-19,14,1.0,109500.0,5400.0
10982940,1800.0,1800.0,0.0,75,2025-01-23,2025-04-20,88,0.8522727272727273,559943.1818181819,135000.0
11044577,384.6154545454545,378.0,38.43173481178639,55,2025-01-30,2025-04-07,68,0.8088235294117647,113546.40073529411,21153.85
11508986,348.7307692307692,354.0,19.249042600234453,13,2025-02-13,2025-03-08,24,0.5416666666666666,68946.97916666666,4533.5
11567423,856.9881656804733,790.0,125.89545871786608,169,2025-01-20,2025-04-20,91,1.0,312800.68047337275,144831.0
12067632,721.1063067567568,720.0,118.49095405074824,74,2025-02-14,2025-03-31,46,1.0,263203.80196621624,53361.866700000006
12359560,700.336661,602.5,159.21289058289224,100,2025-02-13,2025-04-20,67,1.0,255622.881265,70033.6661
12490354,748.5075777777778,749.0,57.05370522738524,63,2025-02-02,2025-04-05,63,1.0,273205.2658888889,47155.9774
12931525,417.57272672727277,400.0,73.95384902120311,110,2025-01-15,2025-04-20,96,1.0,152414.04525545455,45932.99994
13522176,2397.796875,2300.0,671.9564581152731,32,2025-02-10,2025-04-06,56,0.5714285714285714,500111.9196428571,76729.5
14872547,613.26953125,690.75,150.93946085313118,64,2025-01-27,2025-03-31,64,1.0,223843.37890625,39249.25
14884678,577.887323943662,595.0,22.00100601321588,71,2025-03-10,2025-04-20,42,1.0,210928.87323943662,41030.0
15024197,800.0,800.0,0.0,18,2025-01-30,2025-02-16,18,1.0,292000.0,14400.0
15500038,508.6462341346154,428.2,136.64709561404527,208,2025-01-15,2025-04-20,96,1.0,185655.8754591346,105798.4167
15523493,671.5625,800.0,235.31224709989928,148,2025-01-27,2025-04-15,79,1.0,245120.3125,99391.25
15549803,775.5673076923077,490.0,432.6572168245331,104,2025-01-13,2025-04-19,97,1.0,283082.0673076923,80659.0
15732070,769.668333,766.5,19.526472212374053,100,2025-01-28,2025-03-31,63,1.0,280928.941545,76966.8333
15754075,682.1801783783784,600.0,115.71253911002543,111,2025-01-28,2025-03-31,63,1.0,248995.7651081081,75721.9998
15791567,580.0,550.0,71.94769341845013,35,2025-02-16,2025-04-07,51,0.6862745098039216,145284.3137254902,20300.0
15909831,752.6269846560847,790.0,86.32917416560794,189,2025-02-02,2025-04-20,78,1.0,274708.8493994709,142246.5001
15934309,806.0862068965517,790.0,90.4241037388499,174,2025-02-10,2025-04-20,70,1.0,294221.4655172414,140259.0
15980018,400.0,400.0,0.0,39,2025-03-30,2025-04-20,22,1.0,146000.0,15600.0
15980108,1500.0,1500.0,0.0,39,2025-02-09,2025-04-07,58,0.6724137931034483,368146.5517241379,58500.0
16017693,867.3321000000001,910.0,215.4287893488062,108,2025-01-26,2025-03-31,65,1.0,316576.21650000004,93671.8668
16105751,273.2916666666667,250.0,69.62362345972788,72,2025-01-29,2025-04-17,79,0.9113924050632911,90912.72151898735,19677.0
16177778,757.701724137931,810.0,159.35371637781594,232,2025-01-19,2025-04-20,92,1.0,276561.1293103448,175786.8
16253828,1605.1979166666667,1610.6666,64.95001046941807,192,2025-01-29,2025-04-19,81,1.0,585897.2395833334,308198.0
16270332,896.2962962962963,900.0,84.59216914326872,54,2025-01-16,2025-03-10,54,1.0,327148.14814814815,48400.0
16321793,530.9430051813472,450.0,101.91889067458747,193,2025-01-18,2025-04-20,93,1.0,193794.19689119174,102472.00000000001
16350860,603.9346153846154,653.0,111.92218171397208,65,2025-02-03,2025-04-20,77,0.8441558441558441,186082.4512987013,39255.75
16451544,500.0,500.0,0.0,66,2025-03-05,2025-04-20,47,1.0,182500.0,33000.0
16527828,1055.7931034482758,1050.0,92.33525718449255,87,2025-01-24,2025-04-20,87,1.0,385364.4827586207,91854.0
16570256,497.8892123404255,523.0,68.79436537758953,47,2025-02-09,2025-04-06,57,0.8245614035087719,149847.18311754384,23400.79298
16586622,636.817373939394,600.0,154.59484668554032,165,2025-01-31,2025-04-20,80,1.0,232438.3414878788,105074.8667
16618715,791.5941860465116,790.0,134.95229670835676,215,2025-01-09,2025-04-20,102,1.0,288931.87790697673,170192.75
16644316,818.2388059701492,770.0,172.87831502132735,67,2025-01-06,2025-04-06,91,0.7362637362637363,219890.43956043955,54822.0
16662563,1728.0,1728.0,0.0,186,2025-01-29,2025-03-31,62,1.0,630720.0,321408.0
16730935,250.0,250.0,0.0,89,2025-01-21,2025-04-19,89,1.0,91250.0,22250.0
16992951,644.9651162790698,500.0,241.2432426796302,172,2025-01-21,2025-04-20,90,1.0,235412.26744186046,110934.0
17013106,1770.3389830508474,1500.0,329.3303869960195,59,2025-01-14,2025-04-06,83,0.7108433734939759,459328.313253012,104450.0
17034886,832.75,446.0,490.81269056761596,46,2025-01-06,2025-04-06,91,0.5054945054945055,153646.95054945056,38306.5
17294276,992.68889,850.0,279.8864389004046,90,2025-01-30,2025-04-20,81,1.0,362331.44485,89342.0001
17511306,1007.8548387096774,1100.0,146.10908195133553,62,2025-01-24,2025-04-06,73,0.8493150684931506,312434.99999999994,62487.0
17570590,1560.2456140350878,1574.0,264.6796798872079,114,2025-01-12,2025-04-20,99,1.0,569489.6491228071,177868.0
18395333,611.8915662650602,600.0,121.76933106922732,166,2025-02-09,2025-04-17,68,1.0,223340.42168674697,101573.99999999999
18505349,634.5076923076923,650.0,43.07131707800993,65,2025-03-15,2025-04-13,30,1.0,231595.3076923077,41243.0
18506998,373.4878048780488,350.0,44.839224988406905,41,2025-03-04,2025-04-16,44,0.9318181818181818,127028.29545454546,15313.0
18735821,250.61363636363637,250.0,4.070403151799809,44,2025-02-10,2025-04-06,56,0.7857142857142857,71872.41071428572,11027.0
20555680,200.0,200.0,0.0,19,2025-04-01,2025-04-19,19,1.0,73000.0,3800.0
20618105,649.4862763779528,634.3333,39.05656821136638,127,2025-01-13,2025-03-06,53,1.0,237062.49087795278,82484.7571
20863370,507.93055555555554,500.0,13.456849763431094,18,2025-03-19,2025-04-13,26,0.6923076923076923,128350.14423076923,9142.75
20943549,425.261874875,400.0,120.3322161490785,160,2025-01-25,2025-04-20,86,1.0,155220.584329375,68041.89998
21025393,740.7201641975308,750.0,76.48334600868245,81,2025-02-15,2025-04-20,65,1.0,270362.85993209877,59998.3333
