feature,rf,rf_pct,perm,coef_padronizado,rf_rank,perm_rank,media_rank
number_of_bedrooms,0.4750571348084574,47.5,0.5405146225482711,0.13621556416188488,1.0,1.0,1.0
number_of_bathrooms,0.07014233075900331,7.0,0.04615281353272228,0.1412465811920594,3.0,2.0,2.5
listing_type_apart,0.11111580245116238,11.1,0.02228615434722022,0.07975947505907538,2.0,5.0,3.5
number_of_reviews,0.051336276485770396,5.1,0.02776837957747257,-0.005548858840060165,4.0,4.0,4.0
dist_praia_km,0.0349766306684795,3.5,0.036866806921294244,0.00891784034578026,7.0,3.0,5.0
cleaning_fee,0.03179158428332416,3.2,0.02217870960282558,-0.013240874724471483,8.0,6.0,7.0
picture_count,0.036840899992434145,3.7,0.012593722762864534,-0.006196736509051331,5.0,10.0,7.5
number_of_guests,0.0356027764450912,3.6,0.011299261418473688,0.13952053486089266,6.0,11.0,8.5
location_rating,0.02071617161190234,2.1,0.012829896900037724,0.04022676366262596,10.0,8.0,9.0
is_superhost,0.016559929040980883,1.7,0.013269149890903654,-0.03578393267497823,13.0,7.0,10.0
is_professional,0.016386488433369175,1.6,0.012771129419438216,0.12025207017869052,14.0,9.0,11.5
cleanliness_rating,0.022842078663427166,2.3,0.0006941489341517948,0.005834983354671729,9.0,15.0,12.0
months_host,0.019127768071420206,1.9,0.0006754533325326661,0.024878773764494995,11.0,16.0,13.5
star_rating,0.013941076842475936,1.4,0.0017251244353732875,0.0916702750071509,15.0,13.0,14.0
number_of_beds,0.011335809028617432,1.1,0.0023802848040487155,-0.035290626428274886,16.0,12.0,14.0
is_guest_favorite,0.002062891979079043,0.2,0.001669830470984096,-0.06593907214944891,19.0,14.0,16.5
value_rating,0.01741761375587475,1.7,-0.00021463560089342027,-0.024639059480607697,12.0,21.0,16.5
can_instant_book,0.0025087543210188887,0.3,0.0004580582283899404,0.022771548508103378,18.0,17.0,17.5
tem_estacionamento,3.219677995149285e-05,0.0,3.4960614015477897e-06,-0.010414532261086816,21.0,18.0,19.5
years_host,0.009525923678830598,1.0,-0.0019476754053831147,-0.01823996539686152,17.0,22.0,19.5
guest_satisfaction_overall,0.0006798618993294193,0.1,-2.2699147831473087e-05,-0.035947486161265745,20.0,20.0,20.0
is_new_listing,0.0,0.0,1.4432899320127036e-16,0.02194832456131322,22.0,19.0,20.5
