listing_id,link_url,listing_title,business_types,listing_type,property_type,sale_price,rental_price,rental_period,yearly_iptu,monthly_condo_fee,amenities,usable_area,bathrooms,bedrooms,parking_spaces,state,city,suburb,advertiser_name,portal,aquisition_date,sale_price_num,usable_area_num,bedrooms_num,monthly_condo_fee_num,bathrooms_num,parking_spaces_num,yearly_iptu_num,suburb_std,price_per_m2,bedrooms_cat,suburb_key,condo_annual,iptu_annual,carry_annual,acquisition_cost,adr_bairro,adr_med_bairro,n_preco,occ_proxy_bairro,yield_liq_baixo,yield_liq_base,yield_liq_alto
2687011752,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-131m2-venda-RS1598122-id-2687011752/,ITAPEMA - Apartamento Padrão - Meia Praia,Venda,apartamento,UNIT,1598122.0,,,,,"[""POOL"", ""ELEVATOR"", ""PLAYGROUND"", ""PARTY_HALL""]",131,4,3,2,SC,Itapema,Meia Praia,Leonardo Batista,GRUPOZAP,2025-01-11 00:00:00.000,1598122.0,131,3,,4,2,,meia praia,12199.404580152672,3Q,meia praia,0.0,0.0,0.0,1662046.8800000001,729.4952924602663,700.138658909091,332.0,0.9514336358035637,3.6446303697323725,4.6859533325130505,5.727276295293729
2697432835,https://www.vivareal.com.br/imovel/apartamento-3-quartos-castelo-branco-bairros-itapema-com-garagem-118m2-venda-RS1450000-id-2697432835/,Apartamento com 118 m² 3 suítes em Itapema - SC - REF. 9076,Venda,apartamento,UNIT,1450000.0,,,,,[],118,4,3,2,SC,Itapema,Meia Praia,JMARINHO IMÓVEIS,GRUPOZAP,2025-01-11 00:00:00.000,1450000.0,118,3,,4,2,,meia praia,12288.13559322034,3Q,meia praia,0.0,0.0,0.0,1508000.0,729.4952924602663,700.138658909091,332.0,0.9514336358035637,4.016940672922372,5.16463800804305,6.312335343163728
2612161501,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-125m2-venda-RS1500000-id-2612161501/,Apartamento 03 Suítes e 03 Vagas na Meia Praia,Venda,apartamento,UNIT,1500000.0,,,0.0,,"[""FURNISHED"", ""KITCHEN""]",125,4,3,3,SC,Itapema,Castelo Branco,CONFIARI INVESTIMENTOS IMOBILIÁRIOS,GRUPOZAP,2025-01-11 00:00:00.000,1500000.0,125,3,,4,3,0.0,castelo branco,12000.0,3Q,castelo branco,0.0,0.0,0.0,1560000.0,,,,,,,
2598271159,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS870000-id-2598271159/,Apartamento à venda de 2 quartos em Itapema SC,Venda,apartamento,UNIT,870000.0,,,800.0,350.0,"[""POOL"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""BALCONY"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""PLAYGROUND"", ""GOURMET_BALCONY"", ""BARBECUE_BALCONY"", ""CHILDRENS_POOL"", ""PARTY_HALL"", ""NEAR_ACCESS_ROADS"", ""RECREATION_AREA"", ""SOUNDPROOFING"", ""LARGE_WINDOW"", ""TOYS_PLACE"", ""SOLARIUM"", ""DISABLED_ACCESS"", ""GAMES_ROOM"", ""ADULT_POOL"", ""ELECTRONIC_GATE"", ""ENTRANCE_HALL""]",70,3,2,1,SC,Itapema,Morretes,PB IMÓVEIS,GRUPOZAP,2025-01-11 00:00:00.000,870000.0,70,2,350.0,3,1,800.0,morretes,12428.57142857143,2Q,morretes,4200.0,800.0,5000.0,904800.0,655.3652266237627,460.3389895651819,60.0,0.9362838044791029,5.461968391442385,7.180418877919924,8.898869364397465
2691331590,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-130m2-venda-RS2150000-id-2691331590/,"Apartamento 3 Suítes, 3 Vagas - Meia Praia - Itapema - SC",Venda,apartamento,UNIT,2150000.0,,,,,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GATED_COMMUNITY"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""AIR_CONDITIONING"", ""PLAYGROUND"", ""GOURMET_BALCONY"", ""PARTY_HALL"", ""BICYCLES_PLACE"", ""BUILTIN_WARDROBE"", ""AMERICAN_KITCHEN"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""SPA"", ""ELECTRONIC_GATE""]",130,4,3,3,SC,Itapema,Andorinha,Adriano Ramos,GRUPOZAP,2025-01-11 00:00:00.000,2150000.0,130,3,,4,3,,andorinha,16538.46153846154,3Q,andorinha,0.0,0.0,0.0,2236000.0,,,,,,,
2705744229,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-117m2-venda-RS1648500-id-2705744229/,"Apto novo e finamente mobiliado 117 m², 2 suítes + 1 dormitório, em Meia Praia - Itapema - SC",Venda,apartamento,UNIT,1648500.0,,,1375.0,590.0,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""AIR_CONDITIONING"", ""GARDEN"", ""PLAYGROUND"", ""PARTY_HALL"", ""CONCIERGE_24H"", ""RECREATION_AREA"", ""AMERICAN_KITCHEN"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""SPA"", ""SAUNA"", ""COWORKING"", ""ELECTRONIC_GATE""]",117,3,3,2,SC,Itapema,Meia Praia,Airton Investimentos Imobiliários BC,GRUPOZAP,2025-01-11 00:00:00.000,1648500.0,117,3,590.0,3,2,1375.0,meia praia,14089.74358974359,3Q,meia praia,7080.0,1375.0,8455.0,1714440.0,729.4952924602663,700.138658909091,332.0,0.9514336358035637,3.040086870795675,4.049587104902428,5.0590873390091815
2617641178,https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-itapema-com-garagem-150m2-venda-RS3900000-id-2617641178/,"Apartamento 4 dormitórios para Venda em Itapema, CENTRO, 4 dormitórios, 4 suítes, 5 banheiros, 3 vag",Venda,apartamento,UNIT,3900000.0,,,0.0,0.0,"[""POOL"", ""GATED_COMMUNITY"", ""GOURMET_SPACE"", ""PLAYGROUND"", ""PARTY_HALL"", ""NEAR_SCHOOL"", ""NEAR_SHOPPING_CENTER"", ""KITCHEN"", ""ADULT_GAME_ROOM"", ""SPA"", ""ELECTRONIC_GATE"", ""FITNESS_ROOM""]",150,5,4,3,SC,Itapema,Centro,INEZ JESUS NUNES LIMA,GRUPOZAP,2025-01-11 00:00:00.000,3900000.0,150,4,0.0,5,3,0.0,centro,26000.0,4Q+,centro,0.0,0.0,0.0,4056000.0,1063.7238845246425,896.2962962962963,9.0,0.7692458768782446,2.1777359975644726,2.7999462825828934,3.4221565676013137
2702953872,https://www.vivareal.com.br/imovel/sobrado-4-quartos-morretes-bairros-itapema-com-garagem-300m2-venda-RS6500000-id-2702953872/,"ÓTIMA CHACARA COM ÁREA DE 3.582.70M², PARA MORADIA OU EVENTOS!!!",Venda,casa,UNIT,6500000.0,,,2000.0,0.0,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""PLAYGROUND"", ""GOURMET_BALCONY"", ""SPORTS_COURT"", ""PARKING"", ""BICYCLES_PLACE"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""COWORKING"", ""ELECTRONIC_GATE""]",300,6,4,20,SC,Itapema,Sertão do Trombudo,Nei Costa,GRUPOZAP,2025-01-11 00:00:00.000,6500000.0,300,4,0.0,6,20,2000.0,sertão do trombudo,21666.666666666668,4Q+,sertao do trombudo,0.0,2000.0,2000.0,6760000.0,1263.9423076923076,1263.9423076923076,1.0,1.0,1.52299718010355,1.9665923169378696,2.4101874537721892
2766855415,https://www.vivareal.com.br/imovel/sobrado-3-quartos-casa-branca-bairros-itapema-com-garagem-149m2-venda-RS989000-id-2766855415/,Ótima casa Mobiliada com 03 dormitórios em Itapema!,Venda,casa,UNIT,989000.0,,,0.0,0.0,"[""BARBECUE_GRILL"", ""ALARM_SYSTEM"", ""FURNISHED""]",149,3,3,1,SC,Itapema,Casa Branca,LANA NEGOCIOS IMOBILIARIOS LTDA,GRUPOZAP,2025-01-11 00:00:00.000,989000.0,149,3,0.0,3,1,0.0,casa branca,6637.583892617449,3Q,casa branca,0.0,0.0,0.0,1028560.0,442.65289500772,442.65289500772,2.0,0.91875,3.5736164899669007,4.594649772814587,5.615683055662273
2644816494,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-105m2-venda-RS1350000-id-2644816494/,ITAPEMA - Padrão - Meia Praia,Venda,apartamento,UNIT,1350000.0,,,,,"[""GYM"", ""SERVICE_AREA"", ""PLAYGROUND"", ""PARTY_HALL"", ""DINNER_ROOM"", ""ADULT_GAME_ROOM""]",105,2,3,2,SC,Itapema,Meia Praia,Otto House,GRUPOZAP,2025-01-11 00:00:00.000,1350000.0,105,3,,2,2,,meia praia,12857.142857142857,3Q,meia praia,0.0,0.0,0.0,1404000.0,729.4952924602663,700.138658909091,332.0,0.9514336358035637,4.314491833879585,5.547203786416609,6.779915738953633
