suburb_key,bedrooms_cat,n_venda,preco_mediana,preco_media,area_mediana,preco_m2_mediano,preco_m2_medio,condo_mediano,n_airbnb,n_com_preco,adr_media,adr_mediana,n_dates_med,occupancy,gross_annual_rev,total_acquisition,yield_bruto,net_rev,yield_liquido,preco_m2
morretes,3Q,306,790000.0,1064033.9084967321,100.0,8333.333333333334,10172.97876194806,500.0,11,11,710.6026399420332,661.4611111111111,144.0,0.45,116716.48361047896,821600.0,0.14774238431706196,75365.71434681132,0.0917304215516204,7900.0
morretes,2Q,1242,750000.0,752334.3542673108,69.0,11085.714285714286,10847.615903149846,381.0,60,60,655.3652266237627,460.3389895651819,129.5,0.45,107643.73847295303,780000.0,0.14352498463060404,69587.43000741948,0.089214653855666,10869.565217391304
tabuleiro dos oliveiras,2Q,106,786504.0,780539.3018867924,69.0,11618.017598343686,12098.66263907821,0.0,12,12,501.804682868185,469.8544117647059,107.0,0.45,82421.41916109939,817964.16,0.10479465986326755,53573.9224547146,0.06549666241454222,11398.608695652174
casa branca,2Q,26,676450.0,679519.6153846154,70.0,9130.434782608696,8907.444443925506,0.0,11,11,367.8636170712964,377.38461538461536,65.0,0.45,60421.599103960434,703508.0,0.08932160411554503,39274.039417574284,0.05582600257221564,9663.57142857143
centro,Studio/1Q,28,930000.0,1373962.25,53.5,20168.798862828713,19306.88602752929,0.0,82,82,481.93905128203136,449.9514101398601,189.0,0.45,79158.48917307366,967200.0,0.08511665502481039,51453.01796249788,0.05319790939050649,17383.17757009346
centro,2Q,91,1105000.0,1167315.131868132,86.0,12989.690721649484,12844.654462092942,5400.0,67,67,609.8784287843682,575.9787374485596,149.0,0.45,100172.53192783248,1149200.0,0.0906538750478122,59712.145753091114,0.051959750916368876,12848.837209302326
meia praia,2Q,241,1070000.0,1132576.1908713693,85.0,12826.08695652174,13035.903831636768,4800.0,191,191,552.6271367712641,488.5172413793104,76.0,0.45,90769.00721468012,1112800.0,0.08483084786418703,54199.85468954208,0.04870583634933688,12588.235294117647
meia praia,Studio/1Q,92,970000.0,1767024.7826086956,45.0,18750.0,18395.37614839392,0.0,41,41,429.978562735174,427.0755395683453,77.0,0.45,70623.97892925233,1008800.0,0.07280822570026015,45905.58630401402,0.04550514106266259,21555.555555555555
centro,3Q,439,2100000.0,2317714.1548974942,131.0,15789.473684210529,17228.237004010778,0.0,47,47,833.3876839484977,792.4940476190476,119.0,0.45,136883.92708854075,2184000.0,0.06518282242311464,88974.5526075515,0.040739264014446656,16030.534351145037
meia praia,3Q,1683,1884860.0,2107534.0130718956,129.0,14882.46511627907,15575.80214610844,13.0,332,332,729.4952924602663,700.138658909091,129.5,0.45,119819.60178659875,1960254.4000000001,0.06356949682554607,77869.74116128919,0.03972430372368463,14611.317829457364
meia praia,4Q+,1398,3707000.0,4634304.618741059,190.0,18587.024675616893,22134.055446193262,0.0,68,68,1347.8270539312782,1146.4649829787236,89.0,0.45,221380.59360821245,3855280.0,0.05971960982147625,143897.3858453381,0.03732475613842266,19510.526315789473
